Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Molnár, Orsolya R.",4,2016,112,28,1.39,8,1,2013,36897813900,https://www.scopus.com/authid/detail.url?authorId=36897813900,Eotvos Lorand University
"Devulder, C.",4,2019,112,28,1.58,4,1,2016,57191479755,https://www.scopus.com/authid/detail.url?authorId=57191479755,Dartmouth College
"Perreard, Laurent",4,2024,46,11.5,0.7,8,0,2015,6506058113,https://www.scopus.com/authid/detail.url?authorId=6506058113,Dartmouth College
"Byrne, Katelyn T.",4,2017,366,91.5,3.15,25,3,2011,7103297855,https://www.scopus.com/authid/detail.url?authorId=7103297855,Oregon Health and Science University
"Morsi, Eman S.",4,2023,1,0.3,0.15,1,0,2018,57201708084,https://www.scopus.com/authid/detail.url?authorId=57201708084,Dartmouth College
"Gerngross, Tillman U.",4,2019,191,47.8,1.91,25,9,1999,35577359700,https://www.scopus.com/authid/detail.url?authorId=35577359700,Dartmouth College
"Yang, Yaoqing",4,2023,4,1,1.82,14,1,2023,57201950952,https://www.scopus.com/authid/detail.url?authorId=57201950952,Dartmouth College
"Chertoff, Jocelyn Deborah",4,2023,70,17.5,2.42,11,2,2008,6507314482,https://www.scopus.com/authid/detail.url?authorId=6507314482,Unknown affiliation
"Sukhtankar, Sandip",4,2016,153,38.3,2.46,9,2,2012,6507072921,https://www.scopus.com/authid/detail.url?authorId=6507072921,University of California at San Diego
"Mehta, Bhaven K.",4,2022,183,45.8,3.14,3,1,2019,57205689783,https://www.scopus.com/authid/detail.url?authorId=57205689783,Dartmouth College
"Du, Dingkun",4,2014,38,9.5,0.34,4,0,2011,54891801300,https://www.scopus.com/authid/detail.url?authorId=54891801300,Texas Instruments
"Carper, Adrian L.",4,2022,84,21,1.01,7,0,2014,56100661100,https://www.scopus.com/authid/detail.url?authorId=56100661100,University of Colorado Boulder
"Straub, Timothy J.",4,2017,52,13,0.74,12,0,2015,57192872727,https://www.scopus.com/authid/detail.url?authorId=57192872727,Unknown affiliation
"Ronan, Lara Kunschner",4,2020,27,6.8,0.68,4,0,2014,56499061600,https://www.scopus.com/authid/detail.url?authorId=56499061600,Dartmouth College
"Bernhardt, Amy M.",4,2016,87,21.8,1.49,9,1,1997,55108591200,https://www.scopus.com/authid/detail.url?authorId=55108591200,Dartmouth College
"Zhang, Lina",4,2019,110,27.5,1.48,4,1,2017,57131222000,https://www.scopus.com/authid/detail.url?authorId=57131222000,Dartmouth College
"Drew, Aurora L.",4,2023,49,12.3,1.56,4,1,2018,57201131087,https://www.scopus.com/authid/detail.url?authorId=57201131087,Dartmouth College
"Mancini, D. Joshua",4,2022,4,1,0.2,3,0,2020,36461485100,https://www.scopus.com/authid/detail.url?authorId=36461485100,Unknown affiliation
"Manson, Jessamyn S.",4,2015,309,77.3,2.61,17,2,2010,16245907600,https://www.scopus.com/authid/detail.url?authorId=16245907600,University of Virginia
"Drummond, Darlene K.",4,2023,4,1,0.49,6,0,2016,35117589800,https://www.scopus.com/authid/detail.url?authorId=35117589800,Dartmouth College
"Wright, Peter F.",4,2022,23,5.8,0.77,4,0,2012,58728027800,https://www.scopus.com/authid/detail.url?authorId=58728027800,Dartmouth College
"Yang, Ching Wen Wendy",4,2023,36,9,1.06,2,0,2021,57274362600,https://www.scopus.com/authid/detail.url?authorId=57274362600,Dartmouth College
"Padmanabhan, Vijayalakshmi",4,2016,32,8,0.56,15,0,2012,7102543960,https://www.scopus.com/authid/detail.url?authorId=7102543960,Houston Methodist
"Huang, Huanping",4,2020,181,45.3,1.81,11,2,2017,56152573600,https://www.scopus.com/authid/detail.url?authorId=56152573600,Louisiana State University
"Kiriakopoulos, Elaine T.",4,2022,21,5.3,1.01,3,0,2021,57470157400,https://www.scopus.com/authid/detail.url?authorId=57470157400,Unknown affiliation
"Servos, Mariah M.",4,2021,22,5.5,0.18,6,0,2017,57193532538,https://www.scopus.com/authid/detail.url?authorId=57193532538,Dartmouth College
"Moyer, Benjamin J.",4,2020,204,51,2.41,8,1,2016,57188634468,https://www.scopus.com/authid/detail.url?authorId=57188634468,Dartmouth-Hitchcock Clinic
"Kennedy, Linda S.",4,2020,23,5.8,0.37,4,0,2018,57205961767,https://www.scopus.com/authid/detail.url?authorId=57205961767,Dartmouth-Hitchcock Clinic
"Lauria, Michael J.",4,2018,87,21.8,1.64,7,1,2016,57189381887,https://www.scopus.com/authid/detail.url?authorId=57189381887,University of New Mexico
"Bi, Shengjie",4,2020,17,4.3,0.19,5,0,2018,57192904679,https://www.scopus.com/authid/detail.url?authorId=57192904679,Unknown affiliation
"Satterlund, Travis D.",4,2020,90,22.5,0.63,8,0,2014,24554472800,https://www.scopus.com/authid/detail.url?authorId=24554472800,Dartmouth College
"Toy, Dana",4,2019,60,15,0.77,3,0,2018,57201129826,https://www.scopus.com/authid/detail.url?authorId=57201129826,Dartmouth College
"Theiler, Regan N.",4,2018,87,21.8,1.24,18,1,2015,7005379881,https://www.scopus.com/authid/detail.url?authorId=7005379881,"Mayo Clinic Rochester, MN"
"Nachlis, Herschel",4,2024,51,12.8,1.17,2,1,2018,57204917971,https://www.scopus.com/authid/detail.url?authorId=57204917971,Dartmouth College
"Wampler, Ariel T.",4,2022,36,9,1.05,4,1,2020,57207690687,https://www.scopus.com/authid/detail.url?authorId=57207690687,Lahey Hospital & Medical Center
"Wampler, Ariel T.",4,2022,36,9,1.05,4,1,2020,57207690687,https://www.scopus.com/authid/detail.url?authorId=57207690687,"Lahey Health System, Inc."
"Kastner, Elliot J.",4,2015,4,1,0.67,1,0,2015,56669644300,https://www.scopus.com/authid/detail.url?authorId=56669644300,Dartmouth College
"Zitzewitz, Eric W.",4,2021,78,19.5,1.8,16,2,2008,8122449600,https://www.scopus.com/authid/detail.url?authorId=8122449600,National Bureau of Economic Research
"Reddy, Sravana K.",4,2021,77,19.3,1.21,9,1,2015,55102572800,https://www.scopus.com/authid/detail.url?authorId=55102572800,"ASAPP, Inc."
"Magliozzi, Joseph O.",4,2021,28,7,0.44,3,0,2020,56041485100,https://www.scopus.com/authid/detail.url?authorId=56041485100,Brandeis University
"Auh, Edel",4,2022,26,6.5,2.11,3,2,2020,57216202003,https://www.scopus.com/authid/detail.url?authorId=57216202003,Dartmouth College
"Spencer, Steven K.",4,2014,267,66.8,2.55,24,6,1997,7201916484,https://www.scopus.com/authid/detail.url?authorId=7201916484,Dartmouth College
"Liang, Xiaoyu",4,2022,355,88.8,2.35,4,1,2017,57194274385,https://www.scopus.com/authid/detail.url?authorId=57194274385,Dartmouth College
"Pollack, Adam B.",4,2024,29,7.3,7.91,5,2,2023,57418721100,https://www.scopus.com/authid/detail.url?authorId=57418721100,Dartmouth College
"Anzagira, Leo",4,2016,121,30.3,0.72,4,0,2015,57188853748,https://www.scopus.com/authid/detail.url?authorId=57188853748,Unknown affiliation
"Schaner, Simone",4,2018,219,54.8,4.81,6,3,2015,56503905800,https://www.scopus.com/authid/detail.url?authorId=56503905800,University of Southern California
"Wernimont, Jacqueline D.",4,2023,8,2,0.13,3,0,2018,54885248200,https://www.scopus.com/authid/detail.url?authorId=54885248200,Dartmouth College
"Barrack, Kaitlyn E.",4,2024,14,3.5,3.22,2,1,2022,57248275500,https://www.scopus.com/authid/detail.url?authorId=57248275500,Dartmouth College
"Merhige, John A.",4,2024,1,0.3,0.05,1,0,2015,56375306100,https://www.scopus.com/authid/detail.url?authorId=56375306100,Dartmouth College
"Jarmel, Isabel A.",4,2024,2,0.5,0.88,1,1,2023,58545745600,https://www.scopus.com/authid/detail.url?authorId=58545745600,Dartmouth College
"Bean, Jennifer R.",4,2020,104,26,1.43,3,2,2015,56386830700,https://www.scopus.com/authid/detail.url?authorId=56386830700,Dartmouth College
"Bragg, Elise M.",4,2023,18,4.5,0.15,3,0,2017,57192377718,https://www.scopus.com/authid/detail.url?authorId=57192377718,Dartmouth College
"Risingsong, Renee",4,2016,181,45.3,2.38,25,8,1999,6506881352,https://www.scopus.com/authid/detail.url?authorId=6506881352,Dartmouth College
"Berkowitz, Julia L.",4,2021,112,28,1.33,5,1,2016,57205281988,https://www.scopus.com/authid/detail.url?authorId=57205281988,Brown University
"Park, Soo-hwan",4,2024,13,3.3,1.38,2,1,2021,57368189500,https://www.scopus.com/authid/detail.url?authorId=57368189500,Dartmouth College
"Hu, Shanhu",4,2017,130,32.5,0.97,8,0,2015,56883443400,https://www.scopus.com/authid/detail.url?authorId=56883443400,Unknown affiliation
"Byock, Ira Robert",4,2020,104,26,2.02,27,7,2006,55892064100,https://www.scopus.com/authid/detail.url?authorId=55892064100,Unknown affiliation
"Naimie, Amanda A.",4,2016,106,26.5,1.02,6,0,2014,55999016600,https://www.scopus.com/authid/detail.url?authorId=55999016600,Dartmouth College
"Soter, Jennifer A.",4,2021,16,4,0.32,3,0,2020,57215664728,https://www.scopus.com/authid/detail.url?authorId=57215664728,Dartmouth College
"Perez, Beatrice C.",4,2023,9,2.3,0.66,3,0,2022,57203129381,https://www.scopus.com/authid/detail.url?authorId=57203129381,Riverside Research Institute
"Sijsling, Jeroen",4,2020,38,9.5,1.22,6,1,2016,54966840200,https://www.scopus.com/authid/detail.url?authorId=54966840200,Ulm University
"Bhattacharjee, Amit",4,2015,484,121,3.9,10,2,2013,36747802000,https://www.scopus.com/authid/detail.url?authorId=36747802000,University of Colorado Boulder
"Burrows, Abigail D.",4,2024,6,1.5,0.25,1,0,2022,57654560500,https://www.scopus.com/authid/detail.url?authorId=57654560500,Dartmouth College
"Sun, Chen",4,2018,72,18,0.93,17,0,2018,57217790063,https://www.scopus.com/authid/detail.url?authorId=57217790063,Virginia Polytechnic Institute and State University
"Swanson, Sarah J.",4,2014,83,20.8,1.3,10,1,2008,16424965300,https://www.scopus.com/authid/detail.url?authorId=16424965300,Unknown affiliation
"O'Toolea, George A.",4,2018,217,54.3,1.97,4,1,2014,56149293300,https://www.scopus.com/authid/detail.url?authorId=56149293300,Dartmouth College
"Calderwood, Michael A.",4,2023,10,2.5,1.08,31,1,2022,6602520462,https://www.scopus.com/authid/detail.url?authorId=6602520462,Dana-Farber Cancer Institute
"Melzer, Brian T.",4,2023,80,20,1.93,8,1,2018,54780185100,https://www.scopus.com/authid/detail.url?authorId=54780185100,Dartmouth College
"Kunkel, Samuel T.",4,2024,14,3.5,0.27,10,0,2018,57197690335,https://www.scopus.com/authid/detail.url?authorId=57197690335,Dartmouth College
"Usherwood, Young Kwang",4,2023,20,5,0.54,3,0,2019,57219898058,https://www.scopus.com/authid/detail.url?authorId=57219898058,Dartmouth College
"Mirabella, Anne C.",4,2015,253,63.3,1.78,5,3,2011,53868234200,https://www.scopus.com/authid/detail.url?authorId=53868234200,Unknown affiliation
"Crawford, Kathryn A.",4,2023,59,14.8,0.61,5,0,2020,57206846581,https://www.scopus.com/authid/detail.url?authorId=57206846581,Middlebury College
"McGowan, Mary P.",4,2024,27,6.8,0.51,15,0,2021,8556405000,https://www.scopus.com/authid/detail.url?authorId=8556405000,Unknown affiliation
"Jarrett, Khari Elijah",4,2021,4,1,0.08,2,0,2019,57201360148,https://www.scopus.com/authid/detail.url?authorId=57201360148,Dartmouth College
"Bazos, Dorothy A.",4,2016,28,7,0.42,6,2,1998,8653159900,https://www.scopus.com/authid/detail.url?authorId=8653159900,Dartmouth College
"Williams, Michael R.",4,2018,158,39.5,1.31,8,1,2015,57225871378,https://www.scopus.com/authid/detail.url?authorId=57225871378,Michigan State University
"Lustick, Ian S.",4,2024,22,5.5,0.31,15,0,2019,6701839904,https://www.scopus.com/authid/detail.url?authorId=6701839904,Dartmouth College
"Guillory, Sean A.",4,2022,162,40.5,1.14,3,0,2012,55561952100,https://www.scopus.com/authid/detail.url?authorId=55561952100,Dartmouth College
"Bradley, Dwight C.",4,2024,10,2.5,0.38,28,0,2019,7403123007,https://www.scopus.com/authid/detail.url?authorId=7403123007,United States Geological Survey
"Sievers, Beau R.",4,2024,214,53.5,1.7,5,0,2013,55376001200,https://www.scopus.com/authid/detail.url?authorId=55376001200,Stanford University
"Boyack, Rufus",4,2024,2,0.5,0.64,10,0,2023,33567499200,https://www.scopus.com/authid/detail.url?authorId=33567499200,Dartmouth College
"Tsai, Chingyi",4,2018,115,28.8,1.18,7,1,2009,35206865900,https://www.scopus.com/authid/detail.url?authorId=35206865900,Dartmouth College
"Havidich, Jeana E.",4,2021,67,16.8,1.95,9,1,2011,6507318489,https://www.scopus.com/authid/detail.url?authorId=6507318489,Dartmouth College
"Thakur, Devendra S.",4,2023,9,2.3,0.12,4,0,2014,57202486329,https://www.scopus.com/authid/detail.url?authorId=57202486329,Dartmouth College
"Assaf, Eran",4,2023,2,0.5,0.24,1,0,2021,57194550519,https://www.scopus.com/authid/detail.url?authorId=57194550519,Dartmouth College
"Booker, Vaughn A.",4,2021,7,1.8,1.39,3,0,2020,56942404300,https://www.scopus.com/authid/detail.url?authorId=56942404300,University of Pennsylvania
"Preiss, Nicholas K.",4,2023,67,16.8,1.52,3,1,2020,57219900691,https://www.scopus.com/authid/detail.url?authorId=57219900691,Dartmouth College
"Montano, Ryan",4,2017,171,42.8,1.33,6,1,2012,54981153300,https://www.scopus.com/authid/detail.url?authorId=54981153300,Dartmouth College
"Hoopes, P. Jack",4,2024,0,0,0,0,0,2023,58789580000,https://www.scopus.com/authid/detail.url?authorId=58789580000,Dartmouth College
"Huang, Mengqi",4,2022,60,15,1.33,12,0,2019,36456903200,https://www.scopus.com/authid/detail.url?authorId=36456903200,University of Pittsburgh
"Scheetz, Perry M.",4,2023,27,6.8,0.43,4,0,2017,55458836500,https://www.scopus.com/authid/detail.url?authorId=55458836500,Unknown affiliation
"Misra, Adwiteeya",4,2015,8,2,1,3,0,2015,56669230000,https://www.scopus.com/authid/detail.url?authorId=56669230000,University of Rochester
"Patel, Maulik",4,2023,80,20,1.17,5,0,2017,57676288700,https://www.scopus.com/authid/detail.url?authorId=57676288700,Dartmouth College
"Garduño, Jorge A.",4,2024,4,1,0.17,8,0,2022,56674363400,https://www.scopus.com/authid/detail.url?authorId=56674363400,Unknown affiliation
"Sun, Michael",4,2024,11,2.8,0.86,2,1,2020,59068180400,https://www.scopus.com/authid/detail.url?authorId=59068180400,Dartmouth College
"Spitzer, Leo",4,2016,8,2,0,10,5,2002,7004644214,https://www.scopus.com/authid/detail.url?authorId=7004644214,Dartmouth College
"Levey, Samuel",4,2020,20,5,0.87,8,2,1999,25122642700,https://www.scopus.com/authid/detail.url?authorId=25122642700,Dartmouth College
"Floyd, Erin G.",4,2020,41,10.3,0.37,4,0,2016,57038514700,https://www.scopus.com/authid/detail.url?authorId=57038514700,Unknown affiliation
"Reinhart, Erin F.",4,2023,42,10.5,0.78,3,0,2018,57203530471,https://www.scopus.com/authid/detail.url?authorId=57203530471,Unknown affiliation
"Demsas, Falen",4,2023,58,14.5,1.88,4,1,2020,57218190698,https://www.scopus.com/authid/detail.url?authorId=57218190698,Dartmouth College
"Fuld, Alexander D.",4,2023,27,6.8,0.77,7,0,2011,36023504600,https://www.scopus.com/authid/detail.url?authorId=36023504600,Dartmouth-Hitchcock Clinic
"Onteeru, Manu",4,2023,9,2.3,0.49,2,0,2022,57704409400,https://www.scopus.com/authid/detail.url?authorId=57704409400,Unknown affiliation
"Courville, Zoe R.",4,2015,131,32.8,1.49,15,1,2000,16834426900,https://www.scopus.com/authid/detail.url?authorId=16834426900,United States Army Engineer Research and Development Center
"Nguyen, Hieu T.",4,2023,70,17.5,1.31,3,1,2020,57216737277,https://www.scopus.com/authid/detail.url?authorId=57216737277,Dartmouth College
"Ratcliffe, Nora R.",4,2020,55,13.8,0.51,18,1,1996,7006262121,https://www.scopus.com/authid/detail.url?authorId=7006262121,Department of Veterans Affairs
"Carignan, Courtney C.",4,2016,135,33.8,2.63,21,2,2014,55454620100,https://www.scopus.com/authid/detail.url?authorId=55454620100,Michigan State University
"Putra, Juan",4,2016,471,117.8,2.23,18,1,2014,56346127500,https://www.scopus.com/authid/detail.url?authorId=56346127500,University of Toronto
"Johnson, Peter D.",4,2017,53,13.3,0.84,7,0,2013,55619311129,https://www.scopus.com/authid/detail.url?authorId=55619311129,Unknown affiliation
"White, Raina R.",4,2022,20,5,0.87,2,0,2018,57203299978,https://www.scopus.com/authid/detail.url?authorId=57203299978,Dartmouth College
"Cushing, Patrick R.",4,2018,64,16,0.43,9,1,2007,15925106600,https://www.scopus.com/authid/detail.url?authorId=15925106600,Unknown affiliation
"Rode, John B.",4,2022,14,3.5,0.51,3,0,2020,57214939371,https://www.scopus.com/authid/detail.url?authorId=57214939371,Dartmouth College
"Fuechtner, Veronika",4,2022,6,1.5,1.3,4,1,2011,55931107700,https://www.scopus.com/authid/detail.url?authorId=55931107700,Dartmouth College
"Groszek, Marcia J.",4,2019,5,1.3,0.28,5,1,1996,6602618963,https://www.scopus.com/authid/detail.url?authorId=6602618963,Unknown affiliation
"Blake-Beard, Stacy D.",4,2022,19,4.8,0.52,13,0,2021,6507688685,https://www.scopus.com/authid/detail.url?authorId=6507688685,Dartmouth College
"Coy, Shannon M.",4,2017,44,11,0.51,16,0,2012,56926444700,https://www.scopus.com/authid/detail.url?authorId=56926444700,Harvard University
"Oxman, Thomas E.",4,2021,70,17.5,0.79,34,19,1996,7006770036,https://www.scopus.com/authid/detail.url?authorId=7006770036,Dartmouth College
"King, William T.",4,2024,26,6.5,2.14,7,1,2022,57204656400,https://www.scopus.com/authid/detail.url?authorId=57204656400,Dartmouth College
"Pace, Nicole C.",4,2022,16,4,0.32,4,0,2006,15072159500,https://www.scopus.com/authid/detail.url?authorId=15072159500,Dartmouth College
"Yang, Isabelle T.",4,2022,18,4.5,0.54,2,0,2020,57216285786,https://www.scopus.com/authid/detail.url?authorId=57216285786,Dartmouth College
"Arntsen, Alexandra E.",4,2019,157,39.3,2.46,4,1,2015,56901257300,https://www.scopus.com/authid/detail.url?authorId=56901257300,Dartmouth College
"Yu, Fei",4,2016,20,5,0.43,5,1,2008,58447667000,https://www.scopus.com/authid/detail.url?authorId=58447667000,Dartmouth College
"Whipple, Chery A.",4,2017,129,32.3,1.14,7,1,2008,36786235900,https://www.scopus.com/authid/detail.url?authorId=36786235900,Dartmouth-Hitchcock Clinic
"Engel, Miles A.",4,2016,60,15,0.35,8,0,2013,36124590600,https://www.scopus.com/authid/detail.url?authorId=36124590600,Los Alamos National Laboratory
"Engel, Miles A.",4,2016,60,15,0.35,8,0,2013,36124590600,https://www.scopus.com/authid/detail.url?authorId=36124590600,United States Department of Energy
"Farris, Katheryn A.",4,2018,62,15.5,1.3,5,1,2015,56985679700,https://www.scopus.com/authid/detail.url?authorId=56985679700,Microsoft USA
"Gaylord, Alan T.",4,2013,0,0,0,2,1,2006,55234926800,https://www.scopus.com/authid/detail.url?authorId=55234926800,Dartmouth College
"Yancy, George",4,2022,3,0.8,1.15,12,1,2019,24781352000,https://www.scopus.com/authid/detail.url?authorId=24781352000,Emory University
"Ditchfield, Robert",4,2023,12,3,0.09,6,0,1996,16045596200,https://www.scopus.com/authid/detail.url?authorId=16045596200,Unknown affiliation
"Oudenhove, Lukas Van",4,2024,15,3.8,0.76,2,0,2022,57116552600,https://www.scopus.com/authid/detail.url?authorId=57116552600,KU Leuven
"Mynick, Anna",4,2023,25,6.3,1.41,4,0,2020,57191623063,https://www.scopus.com/authid/detail.url?authorId=57191623063,Dartmouth College
"Masaba, Kizito",4,2023,54,13.5,1.9,4,1,2019,57193929342,https://www.scopus.com/authid/detail.url?authorId=57193929342,Unknown affiliation
"Dagnino, Giovanni Battista",4,2015,4,1,0.27,19,0,2015,8709021300,https://www.scopus.com/authid/detail.url?authorId=8709021300,Libera Università Maria SS. Assunta
"Pérez, Elizabeth",4,2016,61,15.3,2.46,6,2,2011,54881051300,https://www.scopus.com/authid/detail.url?authorId=54881051300,University of California at Santa Barbara
"Thompson, Jeremy E.",4,2018,28,7,0.47,4,0,2011,55265273900,https://www.scopus.com/authid/detail.url?authorId=55265273900,Washington State University Everett
"Peart, David R.",4,2016,69,17.3,0.73,18,5,1998,7003567119,https://www.scopus.com/authid/detail.url?authorId=7003567119,Unknown affiliation
"Sutton, Craig J.",4,2024,6,1.5,1.74,4,1,2010,7102231584,https://www.scopus.com/authid/detail.url?authorId=7102231584,Unknown affiliation
"Kim, Sun A.",4,2023,226,56.5,2.11,9,6,2006,57196226584,https://www.scopus.com/authid/detail.url?authorId=57196226584,Unknown affiliation
"Xiong, Xi",4,2018,38,9.5,1.24,3,1,2016,57200719825,https://www.scopus.com/authid/detail.url?authorId=57200719825,Dartmouth College
"Haines, Christian P.",4,2018,1,0.3,0.49,4,0,2014,39861429000,https://www.scopus.com/authid/detail.url?authorId=39861429000,Pennsylvania State University
"Simmons, Nathan E.",4,2016,117,29.3,1.13,22,1,2011,7103122096,https://www.scopus.com/authid/detail.url?authorId=7103122096,Unknown affiliation
"Daugherty, Zajj",4,2014,29,7.3,0.58,6,0,2012,35223257800,https://www.scopus.com/authid/detail.url?authorId=35223257800,Reed College
"van Schooten, Kipp J.",4,2019,49,12.3,0.65,14,0,2016,25647081200,https://www.scopus.com/authid/detail.url?authorId=25647081200,University of Utah
"Notario-Barandiaran, Leyre",4,2024,4,1,1.07,12,1,2023,57202726682,https://www.scopus.com/authid/detail.url?authorId=57202726682,Dartmouth College
"Vincenti, Matthew P.",4,2023,47,11.8,0.8,23,9,1996,7006721668,https://www.scopus.com/authid/detail.url?authorId=7006721668,Unknown affiliation
"Fluri, Jennifer L.",4,2016,16,4,0.33,14,5,2006,15020692900,https://www.scopus.com/authid/detail.url?authorId=15020692900,University of Colorado Boulder
"Guseva, Anna",4,2016,191,47.8,2.2,4,2,2011,44561142600,https://www.scopus.com/authid/detail.url?authorId=44561142600,Dartmouth College
"Marcianó, Antonino",4,2014,143,35.8,1.24,22,1,2012,8534173800,https://www.scopus.com/authid/detail.url?authorId=8534173800,National Institute for Nuclear Physics
"Scodari, Bruno T.",4,2024,4,1,0.49,1,0,2023,58139621100,https://www.scopus.com/authid/detail.url?authorId=58139621100,Dartmouth College
"Price, Katherine E.",4,2016,180,45,1.9,6,1,2012,55957809000,https://www.scopus.com/authid/detail.url?authorId=55957809000,Dartmouth College
"Dumont, Julie R.",4,2023,39,9.8,2,13,1,2015,23049638600,https://www.scopus.com/authid/detail.url?authorId=23049638600,Dartmouth College
"Morgenstern, Matthis",4,2017,75,18.8,1.09,25,0,2015,23051628000,https://www.scopus.com/authid/detail.url?authorId=23051628000,Unknown affiliation
"Sweeney, Mary Ann",4,2022,20,5,0.56,2,0,2018,57221864678,https://www.scopus.com/authid/detail.url?authorId=57221864678,Dartmouth College
"Lines, Austin P.",4,2021,9,2.3,0.17,3,0,2019,57213189759,https://www.scopus.com/authid/detail.url?authorId=57213189759,Unknown affiliation
"Norris, Catherine J.",4,2014,100,25,0.73,20,2,2009,35316172000,https://www.scopus.com/authid/detail.url?authorId=35316172000,Swarthmore College
"Amakiri, Ikechukwu C.",4,2021,40,10,1.15,3,1,2018,57206694810,https://www.scopus.com/authid/detail.url?authorId=57206694810,Massachusetts General Hospital
"Torng, Thomas L.",4,2021,112,28,1.91,4,1,2017,57193873727,https://www.scopus.com/authid/detail.url?authorId=57193873727,Dartmouth College
"Rockcliffe, Keighley E.",4,2023,98,24.5,1.63,3,1,2020,57216903217,https://www.scopus.com/authid/detail.url?authorId=57216903217,Dartmouth College
"Allman, Daniel G.",4,2024,27,6.8,0.99,2,1,2020,57220105828,https://www.scopus.com/authid/detail.url?authorId=57220105828,Dartmouth College
"Bettmann, Michael A.",4,2017,1,0.3,0,31,0,2002,7006564591,https://www.scopus.com/authid/detail.url?authorId=7006564591,Wake Forest University
"Walton, Ashley E.",4,2022,43,10.8,2.28,11,1,2020,57225311651,https://www.scopus.com/authid/detail.url?authorId=57225311651,Dartmouth College
"Khorsand, Peyman",4,2019,93,23.3,0.96,5,1,2016,6506617330,https://www.scopus.com/authid/detail.url?authorId=6506617330,Dartmouth College
"Costa, Salvatore P.",4,2021,53,13.3,0.7,14,0,2009,57006076800,https://www.scopus.com/authid/detail.url?authorId=57006076800,Unknown affiliation
"Choi, Ickwon",4,2015,681,170.3,11.33,5,2,2012,56213604600,https://www.scopus.com/authid/detail.url?authorId=56213604600,Unknown affiliation
"Clare, Pierre",4,2018,32,8,1.35,4,1,2015,55009579300,https://www.scopus.com/authid/detail.url?authorId=55009579300,College of William and Mary
"DiGrazia, Joseph",4,2017,57,14.3,1.12,5,0,2016,55760796300,https://www.scopus.com/authid/detail.url?authorId=55760796300,York University Toronto
"Zuckerman, Richard A.",4,2017,76,19,0.88,14,1,2008,7003912522,https://www.scopus.com/authid/detail.url?authorId=7003912522,Unknown affiliation
"Beaudoin, Félix",4,2020,125,31.3,1.63,17,1,2018,57203073585,https://www.scopus.com/authid/detail.url?authorId=57203073585,University of Montreal
"Mikheyeva, Irina V.",4,2021,51,12.8,0.69,5,0,2015,56705330400,https://www.scopus.com/authid/detail.url?authorId=56705330400,Princeton University
"Malik, Brian T.",4,2021,377,94.3,4.2,5,4,2014,57191538907,https://www.scopus.com/authid/detail.url?authorId=57191538907,Dartmouth College
"Bronson, MacKenzie R.",4,2021,59,14.8,0.8,3,0,2016,56997015300,https://www.scopus.com/authid/detail.url?authorId=56997015300,Dartmouth College
"Kobayashi, Kyo",4,2018,66,16.5,2.91,5,1,2012,59100374500,https://www.scopus.com/authid/detail.url?authorId=59100374500,Dartmouth College
"Yuan, Irene H.",4,2019,35,8.8,0.49,4,0,2019,57204832437,https://www.scopus.com/authid/detail.url?authorId=57204832437,Vanderbilt University
"Shapiro, Rebecca Bx",4,2014,46,11.5,1.54,6,2,2011,56112163700,https://www.scopus.com/authid/detail.url?authorId=56112163700,Unknown affiliation
"Chen, Shan",4,2020,256,64,2.46,4,2,2013,55276486000,https://www.scopus.com/authid/detail.url?authorId=55276486000,Dartmouth College
"Demers, Jennifer Lynn H.",4,2015,130,32.5,1.57,5,2,2011,37361006300,https://www.scopus.com/authid/detail.url?authorId=37361006300,Dartmouth College
"Schutt, Katherine L.",4,2020,28,7,0.25,3,0,2017,57194161112,https://www.scopus.com/authid/detail.url?authorId=57194161112,University of Vermont
"Du, Kang",4,2020,51,12.8,0.62,4,0,2018,57200004508,https://www.scopus.com/authid/detail.url?authorId=57200004508,Unknown affiliation
"Dasgupta, Arko",4,2016,200,50,1.96,4,1,2014,56435407200,https://www.scopus.com/authid/detail.url?authorId=56435407200,Dartmouth College
"Delgado, José M.",4,2024,71,17.8,1.97,1,2,2020,57220071190,https://www.scopus.com/authid/detail.url?authorId=57220071190,Dartmouth College
"Svoboda, Marek",4,2022,13,3.3,0.52,2,0,2021,57223724954,https://www.scopus.com/authid/detail.url?authorId=57223724954,Dartmouth College
"Chavez, Afton",4,2018,49,12.3,1.72,3,1,2016,58822814500,https://www.scopus.com/authid/detail.url?authorId=58822814500,Dartmouth College
"Smits, Nicole C.",4,2023,105,26.3,3.04,4,1,2019,57212144256,https://www.scopus.com/authid/detail.url?authorId=57212144256,Dartmouth College
"Heffernan, James A.W.",4,2019,37,9.3,2,4,1,1997,26037446100,https://www.scopus.com/authid/detail.url?authorId=26037446100,Dartmouth College
